language,group,order_present,answers,order_prod,modality,chain,generation,training_time,testing_time,participant_id
de,n,"['langsam', 'leise', 'kalt', 'rennen', 'Donner']","['Roboter', 'leise', 'kalt', 'schnell', 'Regen']","['langsam', 'rennen', 'leise', 'kalt', 'Donner']",gesture,2,17,199.20441170000413,309.07917690000613,37.0
de,y,"['kalt', 'langsam', 'leise', 'rennen', 'Donner']","['kalt', 'wütend', 'leise', 'schnell', 'Donner']","['langsam', 'kalt', 'rennen', 'Donner', 'leise']",gesture,2,18,323.25557280000066,440.7785442000022,38.0
de,n,"['langsam', 'rennen', 'kalt', 'Donner', 'leise']","['anschleichen', 'schnell', 'frieren', 'Knall', 'leise']","['rennen', 'kalt', 'Donner', 'leise', 'langsam']",gesture,2,19,271.1419557999907,382.20085769999423,39.0
de,n,"['rennen', 'kalt', 'langsam', 'leise', 'Donner']","['rennen', 'frieren', 'langsam', 'leise', 'Gewitter']","['leise', 'Donner', 'rennen', 'langsam', 'kalt']",gesture,2,20,206.82055990000663,274.72643609999795,40.0
en,n,"['slow', 'cold', 'thunderstorm', 'silent', 'to run']","['skiing', 'cold', 'showing', 'quiet', 'fast']","['silent', 'cold', 'to run', 'slow', 'thunderstorm']",gesture,3,1,176.37205909998738,242.629912599994,41.0
de,n,"['leise', 'Donner', 'kalt', 'rennen', 'langsam']","['leise', 'explodieren', 'frieren', 'laufen', 'langsam']","['kalt', 'Donner', 'rennen', 'langsam', 'leise']",gesture,3,2,211.7807811000093,280.0386979000032,42.0
en,n,"['thunderstorm', 'silent', 'slow', 'cold', 'to run']","['explosion', 'quiet', 'walking', 'cold', 'fast']","['to run', 'slow', 'silent', 'thunderstorm', 'cold']",gesture,3,3,214.72486830000707,283.6547969999956,43.0
de,n,"['leise', 'Donner', 'kalt', 'rennen', 'langsam']","['Stille', 'Bombe', 'kalt', 'rennen', 'laufen']","['leise', 'langsam', 'Donner', 'kalt', 'rennen']",gesture,3,4,231.01314229999844,331.2716220000002,44.0
en,n,"['to run', 'thunderstorm', 'slow', 'silent', 'cold']","['walking', 'rainy', 'slowmotion', 'shhhh', 'cold']","['to run', 'slow', 'cold', 'silent', 'thunderstorm']",gesture,3,5,248.74158070000703,345.01623900000413,45.0
de,n,"['rennen', 'langsam', 'kalt', 'Donner', 'leise']","['laufen', 'wandern', 'frieren', 'sammeln', 'sTILLE']","['leise', 'kalt', 'rennen', 'Donner', 'langsam']",gesture,3,6,267.0141836999974,356.4727808000025,46.0
