participantID,Age,Gender,NumOfNativeLanguages,TotalLanguages,Extroversion,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,total_gesture_space2D,total_body_entropy2Daggregated,total_body_variability2Daggregated,X_embeddings,Y_embeddings,total_distance,diff_in_gesture_space,diff_in_entropy,diff_in_variability,diff_in_age,diff_in_extrovet,diff_in_gender,diff_in_TotalLanguages,diff_in_TotalNativeLanguages,Age_category
49,50.0,Man / Männlich,1.0,3.0,80.0,langsam_g_ch3_g9_compr.mp4,ch3g9,10.0,3.0,langsam,langsam_g_ch3,1.251284402989284,2.84943341534931,508.8698927116237,-2.2699504,-3.2389426,342.18150141878374,0.22938727950818438,0.19119278821450392,272.0572628043217,22.0,52.0,1.0,2.0,0.0,GenX
50,62.0,Man / Männlich,1.0,2.0,75.0,leise_g_ch3_g10_compr.mp4,ch3g10,11.0,3.0,leise,leise_g_ch3,0.3802900209226335,0.8217875378695645,2541.666666666674,15.3207445,4.4570494,2645.9193730877655,0.6846279749959792,0.5336153721913275,971.6741369997574,12.0,5.0,0.0,1.0,0.0,Baby_Boomer
28,80.0,Woman / Weiblich,1.0,1.0,80.0,leise_g_ch2_g8_compr.mp4,ch2g8,9.0,2.0,leise,leise_g_ch2,0.1948531373639052,2.199466730741909,0.0,15.828308,3.1241624,17.158407522348828,0.4805129167633325,0.43709298603527746,0.0,67.0,7.0,0.0,4.0,1.0,Silent_Gen
1,26.0,Woman / Weiblich,1.0,3.0,40.0,langsam_g_ch1_g1_compr.mp4,ch1g1,2.0,1.0,langsam,langsam_g_ch1,0.4364329671831809,2.777384894503274,38.87301263230159,0.79484475,-6.4215407,225.14211623700592,0.3352056821207158,0.11641468481124795,122.14228454757853,,,,,,Gen_Z
32,24.0,Woman / Weiblich,1.0,4.0,41.0,rennen_g_ch2_g12_compr.mp4,ch2g12,13.0,2.0,rennen,rennen_g_ch2,0.5067672740046956,2.766757801928988,434.4344983232043,-1.9028211,-4.7216964,289.09702569123675,0.0856156265934721,0.061487402735940666,282.74646564013835,12.0,29.0,0.0,1.0,0.0,Gen_Z
16,27.0,Man / Männlich,1.0,2.0,30.0,langsam_g_ch1_g16_compr.mp4,ch1g16,17.0,1.0,langsam,langsam_g_ch1,0.788845875511428,2.4049181147627072,751.6297108431811,-1.6647588,-3.889271,287.93735996383543,0.038958999181069154,0.4225023216660553,195.7091957984369,17.0,40.0,1.0,3.0,0.0,Gen_Z
46,26.0,Woman / Weiblich,1.0,3.0,75.0,leise_g_ch3_g6_compr.mp4,ch3g6,7.0,3.0,leise,leise_g_ch3,1.0655721883761704,1.8392183551739625,491.6666666666474,11.842504,4.348268,2610.7447572352207,0.5729376443723899,1.0878200438549261,1914.959987355925,17.0,25.0,0.0,1.0,0.0,Gen_Z
50,62.0,Man / Männlich,1.0,2.0,75.0,kalt_g_ch3_g10_compr.mp4,ch3g10,11.0,3.0,kalt,kalt_g_ch3,0.9799670971983874,1.8490801232812184,816.6666666666681,11.865463,4.16023,1383.450756574377,0.20970859507248107,0.8600231522534508,816.6666666666681,12.0,5.0,0.0,1.0,0.0,Baby_Boomer
9,58.0,Woman / Weiblich,1.0,1.0,50.0,leise_g_ch1_g9_compr.mp4,ch1g9,10.0,1.0,leise,leise_g_ch1,0.4706665665639193,1.1842749463334514,1941.6666666666615,12.873721,4.1496205,2551.8253647609986,0.0898065913975033,0.3616161392545151,341.66666666666583,34.0,4.0,0.0,4.0,3.0,GenX
57,50.0,Woman / Weiblich,1.0,2.0,30.0,leise_g_ch3_g17_compr.mp4,ch3g17,18.0,3.0,leise,leise_g_ch3,0.5556199111090946,1.4034111310148396,0.0,16.022203,2.1029172,4802.440419793185,0.2250992104743726,0.36796701847545177,3400.000000000021,29.0,50.0,1.0,0.0,1.0,GenX
